identifier,remarks,default enu eng,de,it
TCOTD_TITLE,,The City of the Damned 2 - Apocalypse,Die Stadt der Verdammten 2 - Apokalypse,La Città dei Dannati 2 - Apocalisse
LEVELNAME_MAP01,,$$TCOTD_TITLE,$$TCOTD_TITLE,$$TCOTD_TITLE
TCOTDPLAYER_DISPLAYNAME,,Wanderer,Wanderer,Vagabondo
TXT_YOU_DIED,,YOU DIED,DU BIST TOT,SEI MORTO
SECRETMESSAGE,,\cUYou have found a \cCsecret\cU!\c-,\cUDu hast ein \cCGeheimnis\cU entdeckt!\c-,\cUHai trovato un \cCsegreto\cU!\c-
CONFIRM_NORMAL,,The recommended difficulty for The City of the Damned 2: Apocalypse.\n\nPlay on normal difficulty?,Der empfohlene Schwierigkeitsgrad für The City of the Damned 2: Apocalypse.\n\nWillst du auf diesem Schwierigkeitsgrad spielen?,La difficoltà raccomandata per La Città dei Dannati 2: Apocalisse.\n\nGiocare a difficoltà normale?
CONFIRM_HARD,,Enemies deal 1.5x more damage and are slightly more aggressive.\n\nPlay on hard difficulty?,"Feinde verursachen 1,5-fachen Schaden und sind etwas aggressiver.\n\nWillst du auf diesem Schwierigkeitsgrad spielen?",I nemici infliggono 1.5x danno aggiuntivo e sono leggermente più aggressivi.\n\nGiocare a difficoltà difficile?
CONFIRM_NIGHTMARE,,Enemies deal 2x more damage and are very aggressive.\n\nAre you ready to face your worst nightmares?,"Feinde verursachen 2-fachen Schaden und sind sehr aggressiv.\n\nBist Du bereit, Dich deinem schlimmsten Alptraum zu stellen?",I nemici infliggono 2x danno aggiuntivo e sono veramente aggressivi.\n\nSei pronto ad affrontare i tuoi peggiori incubi?
SKILL_TCOTD2_NORMAL,,\cCNormal,\cCNormal,\cCNormale
SKILL_TCOTD2_HARD,,\cCHard,\cCSchwer,\cCDifficile
SKILL_TCOTD2_NIGHTMARE,,\cCNitemare,\cCAlptraum,\cCIncubo
OPTMNU_ENH,,Enhanced Options,Erweiterte Einstellungen,Opzioni Avanzate
MN_OPTCTRL,,Controls,Steuerung,Controlli
M_NGAME,,New Game,Neues Spiel,Nuovo Gioco
M_LOADG,,Load Game,Spiel laden,Carica Gioco
M_SAVEG,,Save Game,Spiel speichern,Salva Gioco
M_TCOTD2,,Enh. Options,Erw. Einstellungen,Opzioni Av.
M_OPTION,,Options,Einstellungen,Opzioni
M_QUITG,,Quit Game,Spiel beenden,Esci dal Gioco
MNU_INFO,,Read me,Lies mich,Leggimi
CNTRLMNU_OPEN_HELP,,View journal,Tagebuch ansehen,Guarda giornale
MN_OPQUICKHEAL,,Quick heal,Schnell-Heilung,Cura rapida
MN_QUICKHEALPREF,,Quick healing preference,Auswahl für Schnell-Heilung,Cura rapida preferenza
OPTVAL_QUICKHEALSMALL,,$$TAG_STIMPACK,$$TAG_STIMPACK,$$TAG_STIMPACK
OPTVAL_QUICKHEALBIG,,$$TAG_MEDIKIT,$$TAG_MEDIKIT,$$TAG_MEDIKIT
MN_OPTCOD,,Effects,Effekte,Effetti
MN_OPWEAT,,Weather effects,Wettereffekte,Effetti Atmosferici
MN_OPFOG,,Fog,Nebel,Nebbia
MN_OPUNDERWATERWARP,,Underwater warp,Unterwasser Verzerrung,Distorsione subacquea
MN_OPHEAT,,Heat haze,Hitzedunst,Foschia del calore
MN_OPBLUR,,Motion blur,Bewegungsunschärfe,Sfocatura movimento
MN_TILT,,View tilting,Kippen der Ansicht,Ondeggiamento visuale
MN_SWAY,,Weapon sway,Schwenken der Waffe,Slittamento arma
MN_VIEWKICK,,Weapon view kick,Waffenrückstoß,Movimento arma
,Keys,,,
EYE_D,,\cCYou need the \cWeye key\cC to open this door\c-,"\cCDu brauchst den \cWAugenschlüssel\cC, um diese Tür zu öffnen\c-",\cCHai bisogno della \cWchiave ad occhio\cC per aprire questa porta\c-
EYE_O,,\cCYou need the \cWeye key\cC to activate this object\c-,"\cCDu brauchst den \cWAugenschlüssel\cC, um dieses Objekt zu betätigen\c-",\cCHai bisogno della \cWchiave ad occhio\cC per attivare questo oggetto\c-
FIRE_D,,\cCYou need the \cIfire key\cC to open this door\c-,"\cCDu brauchst den \cIFeuerschlüssel\cC, um diese Tür zu öffnen\c-",\cCHai bisogno della \cIchiave di fuoco\cC per aprire questa porta\c-
FIRE_O,,\cCYou need the \cIfire key\cC to activate this object\c-,"\cCDu brauchst den \cIFeuerschlüssel\cC, um dieses Objekt zu betätigen\c-",\cCHai bisogno della \cIchiave di fuoco\cC per attivare questo oggetto\c-
KNIFE_D,,\cCYou need the \cUdagger key\cC to open this door\c-,"\cCDu brauchst den \cUDolchschlüssel\cC, um diese Tür zu öffnen\c-",\cCHai bisogno della \cUchiave a coltello\cC per aprire questa porta\c-
KNIFE_O,,\cCYou need the \cUdagger key\cC to activate this object\c-,"\cCDu brauchst den \cUDolchschlüssel\cC, um dieses Objekt zu betätigen\c-",\cCHai bisogno della \cUchiave a coltello\cC per attivare questo oggetto\c-
MOON_D,,\cCYou need the \cFmoon key\cC to open this door\c-,"\cCDu brauchst den \cFMondschlüssel\cC, um diese Tür zu öffnen\c-",\cCHai bisogno della \cFchiave a luna\cC per aprire questa porta\c-
MOON_O,,\cCYou need the \cFmoon key\cC to activate this object\c-,"\cCDu brauchst den \cFMondschlüssel\cC, um dieses Objekt zu betätigen\c-",\cCHai bisogno della \cFchiave a luna\cC per attivare questo oggetto\c-
SAFE_D,,\cCYou need the \cJsafe key\cC to open the safe\c-,"\cCDu brauchst einen \cJSchlüssel\cC, um den Tresor zu öffnem\c-",\cCHai bisogno della \cJchiave sicura\cC per aprire la cassaforte\c-
SAFE_O,,$$SAFE_D,$$SAFE_D,$$SAFE_D
SKULL_D,,\cCYou need the \cEskull key\cC to open this door\c-,"\cCDu brauchst den \cESchädelschlüssel\cC, um diese Tür zu öffnen\c-",\cCHai bisogno della \cEchiave a teschio\cC per aprire questa porta\c-
SKULL_O,,\cCYou need the \cEskull key\cC to activate this object\c-,"\cCDu brauchst den \cESchädelschlüssel\cC, um dieses Objekt zu nutzen\c-",\cCHai bisogno della \cEchiave a teschio\cC per attivare questo oggetto\c-
SPIDER_D,,\cCYou need the \cAspider key\cC to open this door\c-,"\cCDu brauchst den \cASpinnenschlüssel\cC, um diese Tür zu öffnen\c-",\cCHai bisogno della \cAchiave a ragno\cC per aprire questa porta\c-
SPIDER_O,,\cCYou need the \cAspider key\cC to activate this object\c-,"\cCDu brauchst den \cASpinnenschlüssel\cC, um dieses Objekt zu betätigen\c-",\cCHai bisogno della \cAchiave a ragno\cC per attivare questo oggetto\c-
DIAMOND_O,,\cCYou need a \cJflawless diamond\cC to use this object\c-,"\cCDu brauchst einen \cJmakellosen Diamanten\cC, um dieses Objekt zu benutzen.\c-",\cCHai bisogno di un \cJdiamante perfetto\cC per usare questo oggetto\c-
THAMUZ_O,,\cCYou need the \cDskull of Thamuz\cC to use this object\c-,"\cCDu brauchst den \cDSchädel des Thasmuz\cC, um dieses Objekt zu benutzen.\c-",\cCHai bisogno del \cDteschio di Thamuz\cC per usare questo oggetto\c-
HOURGLASS_O,,\cCYou need \cBGaul's Hourglass of Dimensions\cC to use this object\c-,"\cCDu brauchst den \cBGauls Sanduhr\cC, um dieses Objekt zu benutzen.\c-",\cCHai bisogno della \cBClessidra delle Dimensioni di Gaul\cC per usare questo oggetto\c-
LIBRARY_H,,\cCThis door doesn't have enough \cJpower\cC to be opened\c-,\cCDiese Türe hat nicht genug \cJStrom\cC um geöffnet zu werden\c-,\cCQuesta porta non ha abbastanza \cJpotere\cC per essere aperta\c-
,Puzzles,,,
CISTERN_NO,,\cCNothing happens. Something went wrong.\c-,\cCNichts ist passiert. Irgendetwas ist schief gelaufen.\c-,\cCNon succede nulla. Qualcosa è andato per il verso sbagliato.\c-
POWER_LIB_RESTORED,,The power to the library has been restored.,Die Stromversorgung der Bibliothek wurde wiederhergestellt.,Il potere nella libreria è stato ripristinato.
TENT_GATE_BLOCK,,These gates are of hindrance to you...,Diese Tore sind ein Hindernis für dich...,Questi cancelli rappresentano un ostacolo per te...
TENT_GATE_REMOVED,,\cCThe gates of hindrance are no more. The other dimension beckons you...\c-,\cCDie Pforten des Hindernisses sind nicht mehr. Die andere Dimension erwartet dich...\c-,\cCI cancelli ostacolanti non esistono più. L'altra dimensione ti chiama...\c-
HOSP_BAMBOOZLE,,You could have sworn there was a passage here...,"Du hättest schwören können, dass es hier einen Durchgang gab...",Avresti giurato che c'era un passaggio da queste parti...
MANSION_BOOK_TOO_DARK,,It's too dark to see anything in here...,"Es ist zu dunkel, um hier drinnen etwas zu sehen...",È troppo buio per vederci qualcosa...
MANSION_LIT1,,\cCThe reading room has been lit.\c-,\cCDer Lesesaal wurde erleuchtet.\c-,\cCLa sala letture è stata illuminata.\c-
,Obituaries - Foes,,,
