[enu default]

//Maps
TUTNTMAP01="The Opening Abyss";
TUTNTMAP02="The Armory of Pain";
TUTNTMAP03A="The Cursed Peak";
TUTNTMAP03B="The Evil Heart";
TUTNTMAP04A="Into the Darkness";
TUTNTMAP04B="Beyond the Dark Portal";
TUTNTMAP04CN="The Beginning and The End";
TUTNTMAP04C="The Beginning and The End (DC)";
TUTNTMAPLE="The Fury of Fire";
TUTNTENDMAP01="Credits";
TUTNTINTERMAP="next map";

//Obituaries
HB_AFRIT = "%o found the Afrit too hot to handle.";
HB_BATFAM = "%o was scratched by a Bat Familiar.";
HB_BELPH = "the last thing %o saw was the Belphegor's abs.";
HB_BRUISER = "%o was cremated by a Bruiserdemon.";
HB_CACOL = "%o admired the Cacolantern's teeth.";
HB_DARKI = "%o was touched by a Dark Imp.";
HB_DEVIL = "%o was flayed by a Devil.";
HB_ENCACO = "%o was mowed down by an Enhanced Cacodemon.";
HB_HELLW = "%o was torn apart by a Hell Warrior.";
HB_HERESY = "%o was annihilated by the Heresy Lord.";
HB_HFURY = "%o got ripped apart by Hell's Fury.";
HB_INCAR = "%o was beaten to death by a Death Incarnate.";
HB_MECHD = "%o was chewed up and spat out by a Mech-Demon.";
HB_SATYR = "%o was mauled by a Satyr.";
HB_SHARV = "%o was slashed by a Soul Harvester.";
HB_SNAKI = "%o was shredded by a Snake Imp.";
HB_WARLI = "%o was beaten to death by an Imp Warlord.";
OB_AFRIT = "%o was scorched by an Afrit.";
OB_BELPH = "o was incinerated by a Belphegor.";
OB_BRUISER = "%o was slaughtered by a Bruiserdemon.";
OB_CACOL = "%o couldn't take %h eyes off the eye.";
OB_CATH = "%o was blasted by a Catharsi.";
OB_CHAZOM = "%o was sliced by a madman Zombie with a chainsaw!";
OB_DARKI = "%o was cursed by a Dark Imp.";
OB_DEVIL = "%o was fried by a Devil.";
OB_DOOMT = "%o was killed by a mutant Space Trooper.";
OB_DRAFAM = "%o was cooked by a Dragon Familiar.";
OB_ENCACO = "%o was made into a snack by the Enhanced Cacodemon.";
OB_HADES = "%o was blown away by a Hades Sphere.";
OB_HECT = "%o was cremated by a Hectebus.";
OB_HELLG = "%o was fried by a Hell Guard.";
OB_HELLW = "%o was tagged by the Hell Warrior's fireball.";
OB_HERESY = "%o was annihilated by the Heresy Lord.";
OB_HFURY = "%o felt the wrath of Hell's Fury.";
OB_INCAR = "%o was killed by a Death Incarnate's glaring eyes.";
OB_KNIGHT = "%o was tormented by a Nightmare.";
OB_MAJOR = "%o was perforated by the Chaingun Major.";
OB_MARIB = "%o got beaten up by a Berserker Marine.";
OB_MARIC = "%o got riddled full of holes by a Chaingun Marine.";
OB_MARIF = "%o was blown away by a BFG Marine.";
OB_MARIG = "%o was railed by a Railgun Marine.";
OB_MARIL = "%o felt the energy of a Plasma Rifle Marine.";
OB_MARIM = "%o got beaten up by a Fist Marine.";
OB_MARIP = "%o got shot by a Pistol Marine.";
OB_MARIR = "%o rode a Marine's rocket.";
OB_MARIS = " %o was riddled full of buckshot by a Shotgun Marine.";
OB_MARIT = "%o was shredded by a Super Shotgun Marine.";
OB_MARIW = "%o got chopped up by a Chainsaw Marine.";
OB_NDRONE = "It's game over for %o.";
OB_NQUEN = "%o met the Netherworld Queen.";
OB_PHYTE = "%o was perforated by an Arachnophyte.";
OB_PLAELE = "%o was fried by a Plasma Elemental.";
OB_PLAZOM = "%o got burned by a plasma Zombie.";
OB_RAILA = "%o let an Arachnotron rail %h.";
OB_RAIZOM = "%o was killed by A Zombie railgunner!";
OB_ROKZOM = "%o was splattered by the Zombie's rocket.";
OB_SHADOW = "%o was assasinated by a Shadow.";
OB_SHARV = "%o couldn't evade the Soul Harvester's attack.";
OB_SNAKI = "%o tasted the venom of the Snake Imp.";
OB_SOURCE = "%o didn't get past the Source Guardians.";
OB_SOURCE2 = "%o faced The Maker.";
OB_SPIDR = "A giant Spider became %o's worst nightmare.";
OB_STONI = "%o was smashed by a Stone Imp.";
OB_SUICB = "%o was killed by a crazy Suicide Bomber.";
OB_TERROR = "%o was blasted by a Terror.";
OB_TSOUL = "%o was tormented by the Tortured Soul.";
OB_WARLI = "%o couldn't run from the Imp Warlord's fireball.";
OB_WOLFA = "%o met Adolf.";
OB_WOLFD = "%o was bitten by a Dog.";
OB_WOLFG = "%o was killed by a Guard.";
OB_WOLFN = "%o was killed by Gestapo Officer.";
OB_WOLFO = "%o was killed by a Nazi Officer.";
WB_FLAMT = "%o was BBQed by %k's Flamethrower.";
WB_MINIG = "%o was shredded by %k's Minigun.";
WB_PYROC = "%o was incinerated by %k's PyroCannon.";

//Pickups
MB_COIN = "You collected one Coin.";
PK_FLAMT = "You got the Flamethrower! Time for a BBQ!";
PK_GASOC = "You picked up a small Gasoline Canister.";
PK_GASOP = "You picked up a Gasoline Pack.";
PK_MINIG = "You got the Minigun!";
PK_PCORE = "You got the Portal Core's heart.";
PK_PYROC = "You got the PyroCannon ProtoType!";
PK_SEED = "Picked up a Guardian's Life Seed.";
