// Filled chevron, facing right; native automap rotation and scaling apply.
(-1.00, -1.00), (-1.00, -1.00)
(-0.94, -0.90), (-0.70, -0.90)
(-0.88, -0.80), (-0.40, -0.80)
(-0.82, -0.70), (-0.10, -0.70)
(-0.76, -0.60), (0.20, -0.60)
(-0.70, -0.50), (0.50, -0.50)
(-0.64, -0.40), (0.80, -0.40)
(-0.58, -0.30), (1.10, -0.30)
(-0.52, -0.20), (1.40, -0.20)
(-0.46, -0.10), (1.70, -0.10)
(-0.40, 0.00), (2.00, 0.00)
(-0.46, 0.10), (1.70, 0.10)
(-0.52, 0.20), (1.40, 0.20)
(-0.58, 0.30), (1.10, 0.30)
(-0.64, 0.40), (0.80, 0.40)
(-0.70, 0.50), (0.50, 0.50)
(-0.76, 0.60), (0.20, 0.60)
(-0.82, 0.70), (-0.10, 0.70)
(-0.88, 0.80), (-0.40, 0.80)
(-0.94, 0.90), (-0.70, 0.90)
(-1.00, 1.00), (-1.00, 1.00)
